Entry_id,Title,Description,Published Date,Location,URL
h1459561,HR Partner med flair for arbejde med administration og udviklingsinitiativer,Grib chancen for at komme med på Davidsens spændende rejse og få en nøglerolle som vores HR Partner til en nyoprettet stilling på vores Servicekontor,2024-04-11,Kolding,https://www.jobindex.dk/vis-job/h1459561
h1459559,Beredskabsmedarbejder med lyst til alsidige udfordringer i Beredskab Banedanmark,Beredskab Banedanmark er i en rivende udvikling vi får flere arbejdsopgaver og derfor har vi behov for dig til at gøre vores beredskab endnu mere robust,2024-04-11,Glostrup,https://www.jobindex.dk/vis-job/h1459559
h1459558,Business CentralNAVkonsulent  East,Kender du følelsen af at have gjort en forskel Den følelse dyrker vi hos itm8 da vi tror på at det er en af de afgørende faktorer til arbejdsglæde,2024-04-11,Skovlunde,https://www.jobindex.dk/vis-job/h1459558
h1459557,Salgsleder,,2024-04-11,Skærbæk,https://www.jobindex.dk/vis-job/h1459557
h1459554,2 kantinemedhjælpere,Da to af vores kolleger har søgt nye udfordringer søger vi to nye kantinemedhjælpere  37 timer ugentligt til vores kantine på Esbjerg Gymnasium Stillingerne er ledige fra den 5 august 2024,2024-04-11,Esbjerg Ø,https://www.jobindex.dk/vis-job/h1459554
h1459553,Lagerlegende med truckcertifikat søges  fuldtid,Er du træt af kedelige lagerjobs Vil du være en del af et team der ikke kun knokler men også har det godt imens,2024-04-11,Greve,https://www.jobindex.dk/vis-job/h1459553
h1459552,Værkstedschef til Scanias opbyggerafdeling i Vojens,Din rolle vil være at gå forrest og være synlig blandt vores kunder og desuden være et naturligt bindeled ind i organisationen Du vil løbende sikre nye tiltag og forbedringer af arbejdsgangene forhøjelse af servicekulturen og ikke mindst have en daglig tæt sparring med afdelingslederen,2024-04-11,Vojens,https://www.jobindex.dk/vis-job/h1459552
h1459544,Selvstændig social og sundhedsassistent søges til vores hjemmepleje på Finsensvej,Vi har brug for en fagligt dygtig social og sundhedsassistent til vores dagvagt hvor du bliver en del af vores tværfaglige team,2024-04-11,Frederiksberg,https://www.jobindex.dk/vis-job/h1459544
h1459541,Teknisk Designer Teknisk Assistent Teknisk Tegner,Vi søger 12 medarbejdere med færdigheder indenfor CADverdenen Der vil både være arbejde i 2D og 3D samt i forskellige programmer og teknisk dokumentation indenfor brancherne jernbane fjernvarme og industriel produktion,2024-04-11,Svendborg,https://www.jobindex.dk/vis-job/h1459541
h1459540,Bliv en del af et spændende og internationalt miljø hvor du kan gøre en forskel i europæisk uddannelse,Styrelsen for Undervisning og Kvalitet STUK søger en inspektør med ansvar for udvikling og tilsyn ved Europaskolernes danske sprogsektioner i sekundærafdelingen fra 6 klassetrin til og med den Europæiske Studentereksamen  EB,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459540
h1459538,Kundekonsulent til kundeservice,Vil du være med til at levere de bedste kundeoplevelser ,2024-04-11,København S,https://www.jobindex.dk/vis-job/h1459538
h1459534,Senior HR Manager  selvkørende og tillidsskabende,Kan du lide at arbejde alsidigt med HR og selvstændigt drive forskellige processer Trives du med at veksle mellem at håndtere operationelle opgaver og arbejde strategisk med at udvikle nye processer,2024-04-11,Rønnede,https://www.jobindex.dk/vis-job/h1459534
h1459532,Administrativ blæksprutte,Vi søger en kollega der i samarbejde med vores interne team kan løse administrative opgaver samt supportere gruppen,2024-04-11,Karlslunde,https://www.jobindex.dk/vis-job/h1459532
h1459531,Bliv sportekniker i Banedanmark,Trives du i det fri og vil du være med til at vedligeholde Banedanmarks jernbanespor,2024-04-11,"Fredericia, Rødekro eller Odense",https://www.jobindex.dk/vis-job/h1459531
h1459528,Lead Portfolio Advisor,Youll be part of Portfolio team where you together with your colleagues will develop and deliver Portfolio insights and decisions for senior management in strong collaboration with your colleagues and teams across the Regions,2024-04-11,Gentofte,https://www.jobindex.dk/vis-job/h1459528
h1459527,Lønadministrator  Odense eller Aarhus Åbyhøj,I stillingen som lønadministrator vil du sammen med dine kolleger få ansvaret for alle opgaver relateret til lønudbetalingen til vores i alt ca 700 timelønnede medarbejdere under ATLoverenskomsten med forskellige lokalaftaler,2024-04-11,unknown,https://www.jobindex.dk/vis-job/h1459527
